feature,0-3h,3-6h,6-12h,12-24h,24-48h
Glucose_abs_deviation_from_normal,0.09772797591340222,0.0613699390630909,0.04485235649611674,0.06012694137743051,0.06148372532598387
Glucose_drift_from_normal,0.004142590175598587,0.0006047679178544086,0.00010569542981111664,0.0011250107451564178,0.0014403682615921477
Lactate_above_normal,0.0,0.0,0.0,0.0,0.0
Lactate_below_normal,0.0,0.0,0.0,0.0,0.0
Lactate_deviation_from_normal,0.30726095293409894,0.29418750784792075,0.27024357823714523,0.2954468593079489,0.3131001187341214
Lactate_abs_deviation_from_normal,0.2919695542878701,0.2962785476134058,0.27895835312081735,0.27326061643729477,0.2904583596626986
Lactate_drift_from_normal,0.01027415893672549,0.006157647347689636,0.002852895124320333,0.004487883307359184,0.005381664059130425
Magnesium_above_normal,0.0,0.0,0.0,0.0,0.0
Magnesium_below_normal,0.0,0.0,0.0,0.0,0.0
Magnesium_deviation_from_normal,0.22464319635270247,0.17114235626770954,0.17352616706448032,0.2085117094621154,0.23070366208942233
Magnesium_abs_deviation_from_normal,0.17539602680232472,0.12490036172169365,0.14355835662481703,0.15875734904330951,0.15980806508028353
Magnesium_drift_from_normal,0.006681725365331444,0.0030885776531787332,0.00273341207930867,0.005719548509592455,0.00520072702035531
Phosphate_above_normal,0.0,0.0,0.0,0.0,0.0
Phosphate_below_normal,0.0,0.0,0.0,0.0,0.0
Phosphate_deviation_from_normal,0.32021094343955897,0.26430258210188334,0.2648174482935792,0.2818447231007902,0.31593889276565346
Phosphate_abs_deviation_from_normal,0.34292501400829467,0.17565408459594675,0.1734884851744668,0.19738816635093498,0.34600281673117583
Phosphate_drift_from_normal,0.009821947605503558,0.0036514762544601425,0.0032466808433713207,0.006757657822229869,0.0060347066823345594
Potassium_above_normal,0.0,0.0,0.0,0.0,0.0
Potassium_below_normal,0.0,0.0,0.0,0.0,0.0
Potassium_deviation_from_normal,0.1037564833894605,0.0732506615337448,0.05527456022067606,0.06644477804618833,0.07971997683295756
Potassium_abs_deviation_from_normal,0.12367863101792315,0.0858880765809701,0.05681483166014812,0.07887457954267342,0.10083870680028155
Potassium_drift_from_normal,0.010953502511811312,0.0021192637075724092,0.001857155460689843,0.003071690684043127,0.0037360163913084574
Bilirubin_total_above_normal,0.0,0.0,0.0,0.0,0.0
Bilirubin_total_below_normal,0.0,0.0,0.0,0.0,0.0
Bilirubin_total_deviation_from_normal,0.22575266528283547,0.17551697030130614,0.1668471714074036,0.17358328970831396,0.19044599653974748
Bilirubin_total_abs_deviation_from_normal,0.1808614171215271,0.14564875823522294,0.14440421157189237,0.15189812331963953,0.16349231905043643
Bilirubin_total_drift_from_normal,0.00032233689481505994,0.0011824579154779379,0.0002846980311474792,0.0010346017520693302,0.0017362317663618821
TroponinI_above_normal,0.0,0.0,0.0,0.0,0.0
TroponinI_below_normal,0.0,0.0,0.0,0.0,0.0
TroponinI_deviation_from_normal,0.0013507918620509244,0.000698260304049367,0.0003829909262516127,0.0005077994154232004,0.0003328400150520647
TroponinI_abs_deviation_from_normal,0.0013507918620509244,0.000698260304049367,0.0003829909262516127,0.0005077994154232004,0.0003328400150520647
TroponinI_drift_from_normal,0.00040883781896500096,0.00013324821711300827,0.0008504486220708098,0.0003739780868139075,0.0003543533083562133
Hct_above_normal,0.0,0.0,0.0,0.0,0.0
Hct_below_normal,0.0,0.0,0.0,0.0,0.0
Hct_deviation_from_normal,0.17571600963596,0.13059522968327236,0.10665380601784222,0.1335459434786513,0.14605113042131987
Hct_abs_deviation_from_normal,0.16575661842657055,0.12330258287628583,0.10609738888544937,0.12450456815562733,0.1389765913362197
Hct_drift_from_normal,0.001970415962006462,0.0015963208685090618,0.0005824761624608713,0.0006164082348628838,0.0014107660507842246
Hgb_above_normal,0.0,0.0,0.0,0.0,0.0
Hgb_below_normal,0.0,0.0,0.0,0.0,0.0
Hgb_deviation_from_normal,0.18332905571062494,0.14742822630788746,0.13266834366916963,0.1623642885262386,0.17693181747049308
Hgb_abs_deviation_from_normal,0.18186842039666096,0.14830148457808437,0.1291781041175529,0.16609181738230705,0.18309118788289663
Hgb_drift_from_normal,0.002715985477916596,0.0010149915547972314,0.0008660310922355374,0.0011729265191032776,0.001534163167932549
PTT_above_normal,0.0,0.0,0.0,0.0,0.0
PTT_below_normal,0.0,0.0,0.0,0.0,0.0
PTT_deviation_from_normal,0.16079134448525884,0.14375967748040475,0.1284240439823342,0.14095251439425704,0.12342240731920742
PTT_abs_deviation_from_normal,0.18433732757637064,0.16297587686774864,0.17440188732824963,0.18387198998311194,0.18754712414778826
PTT_drift_from_normal,0.002356746291473308,0.001992016829494306,0.0027624722364169747,0.003110151898073721,0.0035844516373370484
WBC_above_normal,0.0,0.0,0.0,0.0,0.0
WBC_below_normal,0.0,0.0,0.0,0.0,0.0
WBC_deviation_from_normal,0.22225490905066805,0.16505130919217675,0.14516433101616533,0.174893104412106,0.1778213847629892
WBC_abs_deviation_from_normal,0.15887716433671972,0.11614421793682926,0.10261408711940648,0.11952670260329834,0.1215926768943096
WBC_drift_from_normal,0.004162875527121158,0.003529759579674805,0.0021399119825281695,0.001889053863638904,0.004048974885630727
Fibrinogen_above_normal,0.0,0.0,0.0,0.0,0.0
Fibrinogen_below_normal,0.0,0.0,0.0,0.0,0.0
Fibrinogen_deviation_from_normal,0.07441778734325454,0.07596004772492936,0.06102085600603487,0.07016880105213939,0.0972947974170218
Fibrinogen_abs_deviation_from_normal,0.07587337722234935,0.07747204067385227,0.07056691001394068,0.07116592651768827,0.09705318082605519
Fibrinogen_drift_from_normal,0.0009930653248868826,0.0009059255774623387,0.000877730334302453,0.00017451277586009366,0.0014458704910430495
Platelets_above_normal,0.0,0.0,0.0,0.0,0.0
Platelets_below_normal,0.0,0.0,0.0,0.0,0.0
Platelets_deviation_from_normal,0.1801529964246765,0.13920866461665748,0.1228088716401598,0.16545182391410904,0.1734060811131004
Platelets_abs_deviation_from_normal,0.07103247048181623,0.055548297021858734,0.04613846864640548,0.056754334028756945,0.06668113273399284
Platelets_drift_from_normal,0.0026312726496904577,0.00031732786341149427,0.0004481498901092956,0.0015393041450085193,0.002032160095307046
HR_avg_6h,0.13253075237821757,0.10541792642602182,0.08895842007614427,0.06542953622403169,0.045807229866981505
HR_min_6h,0.14049312604029562,0.09473284675363754,0.07400845566586936,0.06091284982650675,0.05184489910471846
HR_max_6h,0.14184728241048297,0.10849596054285264,0.09259741166027528,0.07007343140701477,0.05488268674505728
HR_std_6h,0.004799072533273195,0.01101551472016904,0.006773254023319191,0.0036574250071895326,0.001916944816650775
O2Sat_avg_6h,0.03802033282885324,0.028068170755508253,0.01348986485237452,0.022325741302657506,0.029158297556133368
O2Sat_min_6h,0.06329480869831651,0.03890929305444517,0.016869896423072704,0.023502377624609508,0.02991832279164497
O2Sat_max_6h,0.049355219300569665,0.015749437343676682,0.01101427374705707,0.015585305512693215,0.018439072532372404
O2Sat_std_6h,0.02832156022209028,0.01761250228502871,0.008397957401194235,0.010363827587116087,0.010075302128068507
Temp_avg_6h,0.21152876426185918,0.1611510109929795,0.12322504417862393,0.11602253820296254,0.10534439307002935
Temp_min_6h,0.16551826710860312,0.13089678347406541,0.09128186633447086,0.09342566289660495,0.08626934705736469
Temp_max_6h,0.2357356771978015,0.17813093959379328,0.13679433558003978,0.1309503572970528,0.12341499926357172
Temp_std_6h,0.035829563277974055,0.030875670296569832,0.015362651305166933,0.017597336988814265,0.02202662149928876
SBP_avg_6h,0.021516630205156678,0.015026658675177967,0.018772805106474923,0.006273834268042127,0.006884340036097695
SBP_min_6h,0.022860532434405206,0.015417802057410878,0.005553482171678218,0.002655837587021071,0.004311774551427842
SBP_max_6h,0.020923279381422383,0.013305686703723089,0.01624788196580344,0.010252787952777297,0.010277061201760264
